time,open,high,low,close,volume
2020-01-02 00:00:00,5993.6,6065.95,5993.6,6065.75,12371
2020-01-03 00:00:00,6020.55,6046.8,5994.3,6016.15,18248
2020-01-06 00:00:00,5979.45,6027.3,5954.05,6025.25,15520
2020-01-07 00:00:00,6040.85,6065.55,5998.3,6005.25,16209
2020-01-08 00:00:00,5973.05,6064.3,5970.55,6042.25,19677
2020-01-09 00:00:00,6061.65,6077.8,6033.3,6047.35,14231
2020-01-10 00:00:00,6058.55,6060.3,6010.8,6016.7,11824
2020-01-13 00:00:00,6032.5,6058.8,6018.3,6038.3,12505
2020-01-14 00:00:00,6040.6,6046.3,5980.05,6038.15,17410
2020-01-15 00:00:00,6030.15,6054.55,6009.8,6020.05,15180
2020-01-16 00:00:00,6040.3,6059.55,6020.05,6048.55,14371
2020-01-17 00:00:00,6053.75,6109.8,6053.75,6103.6,11537
2020-01-20 00:00:00,6102.5,6102.8,6070.3,6082.3,5412
2020-01-21 00:00:00,6043.9,6051.8,5990.8,6028.35,13204
2020-01-22 00:00:00,6064.35,6071.8,5996.5,5997.2,12909
2020-01-23 00:00:00,5979.5,6023.8,5960.8,6005.4,17089
2020-01-24 00:00:00,6010.55,6064.8,5984.05,5994.5,17739
2020-01-24 22:00:00,5996.55,6004.8,5990.55,5994.5,1665
2020-01-27 09:00:00,5944.6,5944.6,5911.3,5922.05,1234
2020-01-27 10:00:00,5922.55,5942.3,5916.05,5927.3,2598
2020-01-27 11:00:00,5927.05,5927.8,5901.3,5906.8,2291
2020-01-27 12:00:00,5906.05,5906.8,5876.3,5879.8,1902
2020-01-27 13:00:00,5879.55,5901.55,5873.8,5887.8,1653
2020-01-27 14:00:00,5888.3,5901.8,5886.8,5889.8,1614
2020-01-27 15:00:00,5890.05,5891.8,5871.8,5872.8,1419
2020-01-27 16:00:00,5872.3,5889.8,5852.05,5882.05,2768
2020-01-27 17:00:00,5881.8,5882.8,5849.8,5860.05,3051
2020-01-27 18:00:00,5859.8,5875.8,5852.3,5868.8,2415
2020-01-27 19:00:00,5868.3,5879.55,5865.3,5871.8,1536
2020-01-27 20:00:00,5872.05,5883.3,5871.3,5872.8,1122
2020-01-27 21:00:00,5873.3,5879.8,5867.3,5870.05,1140
2020-01-27 22:00:00,5870.3,5874.8,5850.7,5850.7,1175
2020-01-28 09:00:00,5894.1,5894.4,5880.3,5890.3,785
2020-01-28 10:00:00,5889.3,5899.3,5874.3,5876.55,2841
2020-01-28 11:00:00,5876.3,5879.3,5860.55,5863.8,2623
2020-01-28 12:00:00,5864.05,5877.05,5862.8,5870.05,1810
2020-01-28 13:00:00,5869.8,5881.55,5857.8,5880.8,1620
2020-01-28 14:00:00,5881.3,5896.3,5876.8,5889.3,1629
2020-01-28 15:00:00,5889.8,5895.8,5885.3,5890.8,1202
2020-01-28 16:00:00,5891.05,5907.3,5887.3,5904.3,2011
2020-01-28 17:00:00,5904.8,5932.8,5900.8,5932.55,2257
2020-01-28 18:00:00,5932.8,5934.55,5911.3,5924.3,1633
2020-01-28 19:00:00,5924.8,5927.05,5913.8,5916.8,653
2020-01-28 20:00:00,5916.3,5919.3,5912.3,5918.3,622
2020-01-28 21:00:00,5918.55,5923.3,5916.8,5918.8,528
2020-01-28 22:00:00,5918.55,5920.8,5912.2,5913.0,864
2020-01-29 09:00:00,5925.0,5925.8,5917.8,5922.8,544
2020-01-29 10:00:00,5920.8,5956.05,5915.8,5955.8,2397
2020-01-29 11:00:00,5955.55,5962.8,5931.8,5941.3,1313
2020-01-29 13:00:00,5943.8,5951.3,5943.8,5947.3,489
2020-01-29 14:00:00,5947.55,5953.3,5943.3,5948.8,1041
2020-01-29 15:00:00,5949.05,5955.3,5946.05,5952.05,935
2020-01-29 16:00:00,5951.8,5970.3,5946.8,5948.8,1520
2020-01-29 17:00:00,5948.55,5960.3,5932.3,5960.3,2600
2020-01-29 18:00:00,5960.8,5963.8,5951.3,5957.8,1268
2020-01-29 19:00:00,5958.3,5964.8,5957.3,5961.55,561
2020-01-29 20:00:00,5961.8,5965.3,5958.3,5961.8,353
2020-01-29 21:00:00,5962.05,5970.8,5954.55,5955.05,1293
2020-01-29 22:00:00,5955.3,5956.8,5940.8,5942.0,1666
2020-01-30 09:00:00,5908.7,5911.9,5884.55,5889.3,1723
