time,open,high,low,close,volume
2019-12-31 16:00:00,0.85038,0.85106,0.84899,0.84903,2630
2019-12-31 17:00:00,0.84902,0.84941,0.84734,0.8475,5081
2019-12-31 18:00:00,0.84753,0.84807,0.8454,0.84613,4518
2019-12-31 19:00:00,0.84614,0.84666,0.84569,0.84664,2163
2019-12-31 20:00:00,0.84661,0.84696,0.8462,0.84687,1278
2019-12-31 21:00:00,0.84689,0.84746,0.84679,0.84722,1061
2019-12-31 22:00:00,0.84722,0.84765,0.84664,0.8468,1122
2019-12-31 23:00:00,0.84681,0.84681,0.84503,0.84503,1032
2020-01-02 00:00:00,0.84605,0.84647,0.84534,0.84581,2563
2020-01-02 01:00:00,0.84598,0.84679,0.84584,0.84669,1378
2020-01-02 02:00:00,0.84661,0.84681,0.84584,0.8462,1182
2020-01-02 03:00:00,0.8462,0.84651,0.84598,0.84648,1307
2020-01-02 04:00:00,0.84647,0.84731,0.84639,0.84702,1009
2020-01-02 05:00:00,0.847,0.84927,0.84695,0.84886,1756
2020-01-02 06:00:00,0.84888,0.84925,0.84801,0.84807,1605
2020-01-02 07:00:00,0.84809,0.84845,0.84782,0.84791,1508
2020-01-02 08:00:00,0.84791,0.84845,0.84737,0.84765,1357
2020-01-02 09:00:00,0.84758,0.84829,0.8471,0.84796,2683
2020-01-02 10:00:00,0.84795,0.84863,0.8473,0.84798,3207
2020-01-02 11:00:00,0.84796,0.84828,0.84757,0.84779,2042
2020-01-02 12:00:00,0.84778,0.84803,0.84718,0.84766,1766
2020-01-02 13:00:00,0.84765,0.84875,0.84732,0.84734,2723
2020-01-02 14:00:00,0.84736,0.8485,0.8469,0.84816,2345
2020-01-02 15:00:00,0.84815,0.84996,0.8481,0.84971,2985
2020-01-02 16:00:00,0.84974,0.8504,0.84945,0.84984,3706
2020-01-02 17:00:00,0.84986,0.84997,0.84744,0.8492,4647
2020-01-02 18:00:00,0.84921,0.85128,0.84907,0.8506,4093
2020-01-02 19:00:00,0.85061,0.85143,0.85034,0.85041,3059
2020-01-02 20:00:00,0.8504,0.85069,0.84982,0.85008,2231
2020-01-02 21:00:00,0.85008,0.85061,0.84991,0.85048,2116
2020-01-02 22:00:00,0.85049,0.85049,0.84971,0.85006,1466
2020-01-02 23:00:00,0.85005,0.85052,0.85,0.85014,688
2020-01-03 00:00:00,0.85008,0.8504,0.84924,0.84967,195
2020-01-03 01:00:00,0.84952,0.85022,0.84952,0.84962,891
2020-01-03 02:00:00,0.84975,0.85004,0.84938,0.84947,965
2020-01-03 03:00:00,0.84947,0.85066,0.84933,0.85049,1189
2020-01-03 04:00:00,0.85048,0.85137,0.85029,0.85104,2048
2020-01-03 05:00:00,0.85102,0.85108,0.85041,0.85043,1503
2020-01-03 06:00:00,0.85046,0.85107,0.85035,0.85098,1048
2020-01-03 07:00:00,0.85099,0.85129,0.85075,0.85102,1442
2020-01-03 08:00:00,0.85101,0.85192,0.85099,0.85104,1289
2020-01-03 09:00:00,0.85105,0.85245,0.85104,0.85189,3872
2020-01-03 10:00:00,0.85189,0.85232,0.85043,0.85137,4156
2020-01-03 11:00:00,0.85138,0.85256,0.85107,0.85245,4180
2020-01-03 12:00:00,0.85243,0.85248,0.85073,0.85146,3366
2020-01-03 13:00:00,0.85142,0.85237,0.85107,0.85228,2911
2020-01-03 14:00:00,0.85228,0.85271,0.85147,0.8516,2796
2020-01-03 15:00:00,0.85158,0.85204,0.85038,0.852,2880
2020-01-03 16:00:00,0.85201,0.85342,0.85142,0.85332,3248
2020-01-03 17:00:00,0.85334,0.85412,0.85252,0.854,3665
2020-01-03 18:00:00,0.85401,0.85427,0.85302,0.85344,2484
2020-01-03 19:00:00,0.85349,0.85408,0.85332,0.85359,1714
2020-01-03 20:00:00,0.85358,0.8543,0.85329,0.85331,1841
2020-01-03 21:00:00,0.85325,0.85399,0.85321,0.85385,1657
