time,open,high,low,close,volume
2019-12-31 16:00:00,143.408,143.588,143.219,143.545,4877
2019-12-31 17:00:00,143.548,143.991,143.463,143.917,7954
2019-12-31 18:00:00,143.908,144.353,143.795,144.184,7812
2019-12-31 19:00:00,144.186,144.227,144.016,144.017,2820
2019-12-31 20:00:00,144.013,144.083,143.948,143.95,1447
2019-12-31 21:00:00,143.952,143.969,143.788,143.838,1180
2019-12-31 22:00:00,143.837,143.954,143.766,143.934,1148
2019-12-31 23:00:00,143.931,144.151,143.895,143.939,1166
2020-01-02 00:00:00,144.018,144.085,143.711,143.948,1616
2020-01-02 01:00:00,143.953,144.079,143.887,144.056,1352
2020-01-02 02:00:00,144.061,144.178,144.004,144.101,1969
2020-01-02 03:00:00,144.102,144.183,144.0,144.049,2124
2020-01-02 04:00:00,144.049,144.062,143.908,143.978,1448
2020-01-02 05:00:00,143.979,143.994,143.498,143.594,1864
2020-01-02 06:00:00,143.593,143.701,143.524,143.617,1666
2020-01-02 07:00:00,143.612,143.685,143.555,143.684,1775
2020-01-02 08:00:00,143.686,143.785,143.584,143.721,1594
2020-01-02 09:00:00,143.727,143.902,143.694,143.803,4793
2020-01-02 10:00:00,143.805,143.936,143.725,143.819,6220
2020-01-02 11:00:00,143.82,143.909,143.76,143.816,3680
2020-01-02 12:00:00,143.814,143.831,143.713,143.745,3441
2020-01-02 13:00:00,143.744,143.746,143.471,143.569,4138
2020-01-02 14:00:00,143.568,143.743,143.48,143.554,3939
2020-01-02 15:00:00,143.553,143.558,143.16,143.213,5403
2020-01-02 16:00:00,143.212,143.262,142.725,142.872,6782
2020-01-02 17:00:00,142.871,142.984,142.66,142.794,8121
2020-01-02 18:00:00,142.791,142.805,142.255,142.337,6391
2020-01-02 19:00:00,142.335,142.538,142.306,142.537,5263
2020-01-02 20:00:00,142.536,142.64,142.411,142.59,4730
2020-01-02 21:00:00,142.59,142.62,142.499,142.508,3904
2020-01-02 22:00:00,142.505,142.651,142.505,142.62,2619
2020-01-02 23:00:00,142.622,142.652,142.532,142.534,814
2020-01-03 00:00:00,142.563,142.665,142.476,142.548,287
2020-01-03 01:00:00,142.535,142.774,142.526,142.694,2171
2020-01-03 02:00:00,142.674,142.743,142.585,142.602,3672
2020-01-03 03:00:00,142.602,142.661,142.09,142.147,5652
2020-01-03 04:00:00,142.148,142.223,141.761,141.851,9013
2020-01-03 05:00:00,141.851,142.106,141.804,142.103,6972
2020-01-03 06:00:00,142.102,142.164,141.902,141.925,4403
2020-01-03 07:00:00,141.924,141.988,141.772,141.863,5535
2020-01-03 08:00:00,141.866,141.915,141.63,141.915,3155
2020-01-03 09:00:00,141.916,141.916,141.187,141.304,9279
2020-01-03 10:00:00,141.306,141.71,141.246,141.437,10291
2020-01-03 11:00:00,141.43,141.488,141.192,141.215,10274
2020-01-03 12:00:00,141.218,141.468,141.217,141.305,8286
2020-01-03 13:00:00,141.305,141.327,140.993,141.062,6407
2020-01-03 14:00:00,141.061,141.398,141.019,141.372,6323
2020-01-03 15:00:00,141.37,141.749,141.369,141.377,6107
2020-01-03 16:00:00,141.375,141.611,141.333,141.427,7380
2020-01-03 17:00:00,141.426,141.542,141.187,141.214,8896
2020-01-03 18:00:00,141.214,141.393,141.154,141.29,5666
2020-01-03 19:00:00,141.289,141.344,141.197,141.3,4542
2020-01-03 20:00:00,141.297,141.374,141.005,141.373,6034
2020-01-03 21:00:00,141.373,141.388,141.241,141.254,5983
2020-01-03 22:00:00,141.261,141.333,141.239,141.302,3170
2020-01-03 23:00:00,141.302,141.376,141.292,141.359,1213
2020-01-06 00:00:00,141.121,141.181,140.858,140.87,900
2020-01-06 01:00:00,140.857,141.227,140.818,141.185,6276
2020-01-06 02:00:00,141.217,141.482,141.201,141.341,7340
2020-01-06 03:00:00,141.34,141.354,141.119,141.177,5889
2020-01-06 04:00:00,141.177,141.401,141.167,141.375,3951
2020-01-06 05:00:00,141.373,141.41,141.302,141.351,3598
2020-01-06 06:00:00,141.35,141.441,141.323,141.377,3235
2020-01-06 07:00:00,141.377,141.411,141.323,141.343,2565
2020-01-06 08:00:00,141.346,141.38,141.106,141.352,4500
2020-01-06 09:00:00,141.352,141.577,141.294,141.314,7181
2020-01-06 10:00:00,141.313,141.516,141.159,141.498,8757
2020-01-06 11:00:00,141.504,141.954,141.481,141.921,8145
2020-01-06 12:00:00,141.921,142.286,141.912,142.036,6970
2020-01-06 13:00:00,142.047,142.378,142.032,142.162,5518
2020-01-06 14:00:00,142.168,142.253,142.031,142.093,4622
2020-01-06 15:00:00,142.095,142.17,141.979,142.067,4860
2020-01-06 16:00:00,142.066,142.275,141.969,142.047,5994
2020-01-06 17:00:00,142.049,142.571,142.013,142.527,6988
