time,open,high,low,close,volume
2019-12-31 16:00:00,131.15,133.16,130.85,131.17,4129
2019-12-31 17:00:00,131.23,131.38,128.37,129.23,5372
2019-12-31 18:00:00,129.23,129.93,128.54,129.58,4153
2019-12-31 19:00:00,129.53,129.59,128.13,128.76,2935
2019-12-31 20:00:00,128.74,129.44,128.36,128.76,1928
2019-12-31 21:00:00,128.7,128.71,127.77,127.82,2591
2019-12-31 22:00:00,127.78,128.41,127.58,127.81,4643
2019-12-31 23:00:00,127.75,128.5,127.71,128.2,1174
2020-01-01 00:00:00,128.18,128.68,127.5,128.37,832
2020-01-01 01:00:00,128.38,128.74,128.1,128.51,1383
2020-01-01 02:00:00,128.54,128.57,127.98,128.18,1687
2020-01-01 03:00:00,128.12,130.19,128.12,130.18,1410
2020-01-01 04:00:00,130.14,130.5,129.78,130.32,739
2020-01-01 05:00:00,130.35,130.4,129.39,129.64,794
2020-01-01 06:00:00,129.67,130.09,129.53,129.58,1316
2020-01-01 07:00:00,129.58,129.88,129.5,129.78,1248
2020-01-01 08:00:00,129.78,130.21,129.75,129.96,1133
2020-01-01 09:00:00,129.96,130.22,129.66,129.71,1569
2020-01-01 10:00:00,129.7,129.97,129.42,129.97,279
2020-01-01 11:00:00,129.98,130.23,129.75,129.79,840
2020-01-01 12:00:00,129.75,130.36,129.7,130.23,526
2020-01-01 13:00:00,130.23,131.43,130.08,130.24,1355
2020-01-01 14:00:00,130.18,131.13,130.18,131.13,1542
2020-01-01 15:00:00,131.13,131.46,130.82,131.26,1732
2020-01-01 16:00:00,131.25,131.82,130.71,131.32,1493
2020-01-01 17:00:00,131.29,131.93,131.16,131.68,1472
2020-01-01 18:00:00,131.64,132.53,131.32,132.41,701
2020-01-01 19:00:00,132.41,132.58,131.84,131.95,2373
2020-01-01 20:00:00,131.95,131.97,131.06,131.5,1669
2020-01-01 21:00:00,131.48,131.55,130.97,131.38,1714
2020-01-01 22:00:00,131.39,131.8,131.19,131.7,2006
2020-01-01 23:00:00,131.67,131.86,131.08,131.4,1353
