time,open,high,low,close,volume
2019-12-31 16:00:00,17.993,18.03,17.801,17.856,6531
2019-12-31 17:00:00,17.857,17.98,17.826999999999998,17.875,5431
2019-12-31 18:00:00,17.874,17.929,17.857,17.881,4203
2019-12-31 19:00:00,17.882,17.929,17.872,17.922,2464
2019-12-31 20:00:00,17.923000000000002,17.923000000000002,17.836,17.852,2678
2019-12-31 21:00:00,17.853,17.879,17.848,17.864,1004
2019-12-31 22:00:00,17.862,17.872,17.84,17.845,1054
2019-12-31 23:00:00,17.849,17.855,17.831,17.838,497
2020-01-02 01:00:00,17.861,17.932,17.861,17.871,986
2020-01-02 02:00:00,17.869,17.888,17.85,17.873,1080
2020-01-02 03:00:00,17.872,17.895,17.805,17.817,4330
2020-01-02 04:00:00,17.819,17.86,17.764,17.851,2319
2020-01-02 05:00:00,17.852,17.868,17.831,17.842,987
2020-01-02 06:00:00,17.841,17.849,17.824,17.832,606
2020-01-02 07:00:00,17.834,17.854,17.824,17.84,1405
2020-01-02 08:00:00,17.841,17.868,17.829,17.857,1817
2020-01-02 09:00:00,17.856,17.863,17.833,17.834,1511
2020-01-02 10:00:00,17.835,17.887,17.818,17.884,3152
2020-01-02 11:00:00,17.883,17.913,17.875,17.885,1628
2020-01-02 12:00:00,17.884,17.901,17.864,17.899,1112
2020-01-02 13:00:00,17.9,17.912,17.885,17.896,1112
2020-01-02 14:00:00,17.895,17.917,17.882,17.905,1218
2020-01-02 15:00:00,17.906,18.079,17.903,18.053,6780
2020-01-02 16:00:00,18.054,18.072,17.917,17.928,6394
2020-01-02 17:00:00,17.929,18.038,17.928,17.99,5368
2020-01-02 18:00:00,17.989,17.993,17.938,17.951,3269
2020-01-02 19:00:00,17.95,17.993,17.918,17.986,2226
2020-01-02 20:00:00,17.987,17.997,17.963,17.978,1365
2020-01-02 21:00:00,17.977,17.992,17.951999999999998,17.985,922
2020-01-02 22:00:00,17.983,18.013,17.977,17.99,1540
2020-01-02 23:00:00,17.987,18.007,17.986,18.001,509
2020-01-03 01:00:00,17.995,18.007,17.985,18.005,493
2020-01-03 02:00:00,18.007,18.032,18.004,18.029,962
2020-01-03 03:00:00,18.028,18.115,17.994,18.074,3965
2020-01-03 04:00:00,18.073,18.138,18.044,18.088,6477
2020-01-03 05:00:00,18.089,18.126,18.072,18.093,3088
2020-01-03 06:00:00,18.094,18.108,18.083,18.104,1178
2020-01-03 07:00:00,18.106,18.235,18.094,18.171,5228
2020-01-03 08:00:00,18.17,18.194,18.137,18.141,3375
2020-01-03 09:00:00,18.144,18.252,18.138,18.233,4129
2020-01-03 10:00:00,18.234,18.25,18.147,18.152,3984
2020-01-03 11:00:00,18.151,18.221,18.15,18.163,4070
2020-01-03 12:00:00,18.162,18.198,18.116,18.181,3800
2020-01-03 13:00:00,18.18,18.189,18.146,18.162,2869
2020-01-03 14:00:00,18.163,18.203,18.118,18.144,4282
2020-01-03 15:00:00,18.143,18.157,18.016,18.064,7610
2020-01-03 16:00:00,18.065,18.093,18.014,18.058,7563
2020-01-03 17:00:00,18.062,18.129,18.062,18.088,6575
2020-01-03 18:00:00,18.09,18.114,18.061,18.077,3108
2020-01-03 19:00:00,18.076,18.087,18.062,18.083,1732
2020-01-03 20:00:00,18.082,18.123,18.042,18.059,3385
2020-01-03 21:00:00,18.061,18.069,17.978,18.008,3492
2020-01-03 22:00:00,18.007,18.013,17.975,18.004,1823
2020-01-03 23:00:00,18.005,18.027,17.993,18.025,602
2020-01-06 01:00:00,18.129,18.28,18.129,18.15,7069
2020-01-06 02:00:00,18.148,18.192,18.131,18.163,3673
2020-01-06 03:00:00,18.164,18.484,18.162,18.436,9146
2020-01-06 04:00:00,18.435,18.445,18.399,18.416,3741
2020-01-06 05:00:00,18.415,18.448,18.399,18.425,1958
2020-01-06 06:00:00,18.426,18.434,18.401,18.415,1471
2020-01-06 07:00:00,18.418,18.439,18.354,18.392,2511
2020-01-06 08:00:00,18.391,18.431,18.364,18.368,3357
2020-01-06 09:00:00,18.369,18.372,18.304,18.334,3854
2020-01-06 10:00:00,18.333,18.344,18.298,18.323,4510
2020-01-06 11:00:00,18.324,18.374,18.306,18.346,3168
2020-01-06 12:00:00,18.347,18.394,18.341,18.374,2071
2020-01-06 13:00:00,18.373,18.403,18.35,18.396,1754
2020-01-06 14:00:00,18.392,18.425,18.378,18.406,3446
2020-01-06 15:00:00,18.404,18.438,18.306,18.341,6796
2020-01-06 16:00:00,18.343,18.377,18.275,18.278,6024
2020-01-06 17:00:00,18.281,18.312,17.991,18.063,11430
2020-01-06 18:00:00,18.062,18.1,18.038,18.084,5634
2020-01-06 19:00:00,18.083,18.094,18.061,18.085,2202
2020-01-06 20:00:00,18.084,18.158,18.076,18.142,2474
2020-01-06 21:00:00,18.141,18.154,18.092,18.107,1657
2020-01-06 22:00:00,18.106,18.13,18.101,18.126,1297
2020-01-06 23:00:00,18.125,18.136,18.121,18.132,547
2020-01-07 01:00:00,18.118,18.13,18.087,18.094,736
2020-01-07 02:00:00,18.095,18.113,18.084,18.102,1178
2020-01-07 03:00:00,18.101,18.103,17.925,17.971,5455
2020-01-07 04:00:00,17.97,18.025,17.926,18.009,4068
2020-01-07 05:00:00,18.008,18.038,18.001,18.011,1763
2020-01-07 06:00:00,18.012,18.029,18.001,18.022,782
2020-01-07 07:00:00,18.023,18.108,18.02,18.104,2451
2020-01-07 08:00:00,18.105,18.209,18.097,18.148,5426
2020-01-07 09:00:00,18.149,18.207,18.125,18.192,3495
2020-01-07 10:00:00,18.19,18.2,18.093,18.093,3775
2020-01-07 11:00:00,18.094,18.119,18.054,18.111,2463
2020-01-07 12:00:00,18.112,18.127,18.087,18.097,1722
2020-01-07 13:00:00,18.096,18.159,18.091,18.134,1782
2020-01-07 14:00:00,18.133,18.157,18.044,18.073,2554
2020-01-07 15:00:00,18.072,18.172,18.063,18.166,5098
2020-01-07 16:00:00,18.167,18.221,18.137,18.171,5314
2020-01-07 17:00:00,18.159,18.235,18.106,18.193,6976
2020-01-07 18:00:00,18.192,18.294,18.191,18.284,3452
2020-01-07 19:00:00,18.283,18.355,18.28,18.328,3924
2020-01-07 20:00:00,18.329,18.386,18.302,18.38,2092
2020-01-07 21:00:00,18.379,18.402,18.307,18.361,2350
2020-01-07 22:00:00,18.36,18.377,18.32,18.35,1616
2020-01-07 23:00:00,18.351,18.416,18.351,18.361,1730
2020-01-08 01:00:00,18.363,18.584,18.353,18.56,7027
2020-01-08 02:00:00,18.559,18.695,18.535,18.556,8608
2020-01-08 03:00:00,18.557,18.834,18.486,18.568,13586
2020-01-08 04:00:00,18.567,18.59,18.457,18.479,10317
2020-01-08 05:00:00,18.478,18.591,18.474,18.485,6606
2020-01-08 06:00:00,18.486,18.548000000000002,18.461,18.539,2469
2020-01-08 07:00:00,18.542,18.613,18.518,18.581,4012
2020-01-08 08:00:00,18.58,18.599,18.536,18.557,3558
2020-01-08 09:00:00,18.56,18.56,18.461,18.494,5229
2020-01-08 10:00:00,18.493,18.514,18.375,18.386,6304
2020-01-08 11:00:00,18.387,18.435,18.354,18.422,3438
2020-01-08 12:00:00,18.423,18.45,18.362,18.375,2955
2020-01-08 13:00:00,18.376,18.42,18.328,18.366,3505
2020-01-08 14:00:00,18.367,18.408,18.322,18.357,4017
2020-01-08 15:00:00,18.356,18.356,18.161,18.327,9052
2020-01-08 16:00:00,18.326,18.384,18.272,18.327,7781
2020-01-08 17:00:00,18.325,18.346,18.269,18.32,5525
2020-01-08 18:00:00,18.319,18.321,18.041,18.14,12374
2020-01-08 19:00:00,18.139,18.197,18.113,18.173,6237
2020-01-08 20:00:00,18.175,18.187,18.092,18.099,4260
2020-01-08 21:00:00,18.1,18.103,18.037,18.047,2977
