time,open,high,low,close,volume
2019-12-31 16:00:00,121.974,122.018,121.879,121.905,5788
2019-12-31 17:00:00,121.902,122.052,121.822,121.995,8790
2019-12-31 18:00:00,121.993,122.095,121.93,122.025,7466
2019-12-31 19:00:00,122.027,122.028,121.937,121.956,3411
2019-12-31 20:00:00,121.957,121.97,121.934,121.937,1461
2019-12-31 21:00:00,121.94,121.941,121.883,121.89,1034
2019-12-31 22:00:00,121.891,121.925,121.881,121.918,1320
2019-12-31 23:00:00,121.916,121.92,121.788,121.795,867
2020-01-02 00:00:00,121.884,121.951,121.71,121.855,564
2020-01-02 01:00:00,121.851,121.984,121.819,121.983,2705
2020-01-02 02:00:00,121.984,121.99,121.905,121.951,2740
2020-01-02 03:00:00,121.952,122.022,121.893,121.947,3282
2020-01-02 04:00:00,121.946,121.991,121.912,121.967,2008
2020-01-02 05:00:00,121.966,121.979,121.879,121.901,1968
2020-01-02 06:00:00,121.9,121.919,121.791,121.809,2375
2020-01-02 07:00:00,121.808,121.847,121.798,121.844,2472
2020-01-02 08:00:00,121.846,121.876,121.826,121.847,1896
2020-01-02 09:00:00,121.848,121.969,121.836,121.952,4314
2020-01-02 10:00:00,121.953,121.996,121.908,121.967,4538
2020-01-02 11:00:00,121.966,122.016,121.904,121.938,3272
2020-01-02 12:00:00,121.939,121.964,121.812,121.849,2815
2020-01-02 13:00:00,121.853,121.895,121.655,121.663,3991
2020-01-02 14:00:00,121.664,121.783,121.645,121.766,3554
2020-01-02 15:00:00,121.767,121.776,121.629,121.701,3988
2020-01-02 16:00:00,121.702,121.723,121.383,121.437,7299
2020-01-02 17:00:00,121.437,121.442,120.978,121.274,9566
2020-01-02 18:00:00,121.272,121.317,121.075,121.085,6149
2020-01-02 19:00:00,121.086,121.259,121.069,121.227,3903
2020-01-02 20:00:00,121.229,121.252,121.14,121.224,5721
2020-01-02 21:00:00,121.222,121.264,121.192,121.215,4136
2020-01-02 22:00:00,121.214,121.253,121.2,121.253,3289
2020-01-02 23:00:00,121.251,121.293,121.233,121.293,677
2020-01-03 00:00:00,121.287,121.291,121.211,121.265,652
2020-01-03 01:00:00,121.267,121.375,121.248,121.249,1480
2020-01-03 02:00:00,121.248,121.282,121.131,121.146,2812
2020-01-03 03:00:00,121.147,121.193,120.876,120.9,4718
2020-01-03 04:00:00,120.901,120.971,120.68,120.728,9619
2020-01-03 05:00:00,120.725,120.867,120.665,120.861,5208
2020-01-03 06:00:00,120.86,120.923,120.764,120.781,3484
2020-01-03 07:00:00,120.78,120.817,120.68,120.731,4600
